"average inference accuracy = 0.710672"
"1.png","4"
"2.png","3"
"3.png","3"
"4.png","3"
"5.png","2"
"6.png","3"
"7.png","2"
"8.png","6"
"9.png","6"
"10.png","4"
"11.png","2"
"12.png","2"
"13.png","3"
"14.png","4"
"15.png","3"
"16.png","5"
"17.png","5"
"18.png","3"
"19.png","2"
"20.png","4"
"21.png","5"
"22.png","4"
"23.png","6"
"24.png","4"
"25.png","2"
"26.png","4"
"27.png","6"
"28.png","4"
"29.png","2"
"30.png","3"
"31.png","2"
"32.png","5"
"33.png","6"
"34.png","4"
"35.png","2"
"36.png","3"
"37.png","2"
"38.png","2"
"39.png","6"
"40.png","4"
"41.png","4"
"42.png","2"
"43.png","4"
"44.png","2"
"45.png","3"
"46.png","4"
"47.png","2"
"48.png","2"
"49.png","4"
"50.png","3"
"51.png","5"
"52.png","2"
"53.png","5"
"54.png","4"
"55.png","5"
"56.png","5"
"57.png","2"
"58.png","5"
"59.png","4"
"60.png","2"
"61.png","2"
"62.png","2"
"63.png","5"
"64.png","0"
"65.png","5"
"66.png","2"
"67.png","4"
"68.png","0"
"69.png","5"
"70.png","2"
"71.png","5"
"72.png","6"
"73.png","5"
"74.png","0"
"75.png","0"
"76.png","5"
"77.png","4"
"78.png","4"
"79.png","4"
"80.png","5"
"81.png","4"
"82.png","5"
"83.png","4"
"84.png","2"
"85.png","5"
"86.png","5"
"87.png","4"
"88.png","5"
"89.png","4"
"90.png","2"
"91.png","5"
"92.png","4"
"93.png","5"
"94.png","2"
"95.png","5"
"96.png","4"
"97.png","0"
"98.png","5"
"99.png","5"
"100.png","4"
